scan_variable,scan_cut,muIsoCut,egmIsoCut,fixed_mu_iso,fixed_egm_iso,dPhiCut,mJJCut,pixelCut,signal_name,sig_A,sig_B,sig_C,sig_D,signalEff,AsimovSig,ACounts,BCounts,CCounts,DCounts,A_Unc,B_Unc,C_Unc,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio,fixed_value,fixed_variable,scanned_variable
egm,0.37,0.1,0.37,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.165280082987552,1.1171576763485478,0.21722510373443984,0.7687400318979266,1.0668763950724516,191.63435404853533,1867.4920849011492,371.3718014648733,3138.5882281178124,117.66156862903134,252.0380300286161,174.13732245637405,334.65666971389646,220.97001880588806,110.36419393920264,-0.15308144984235383,0.912638446904245,-0.1818464120203858,0.5160175147726216,0.3986560481061253,0.5950102240780627,0.10234106528950797,0.8672414252581354,0.1,muIsoCut,egmIsoCut
egm,0.38,0.1,0.38,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.165280082987552,1.1171576763485478,0.21722510373443984,0.7687400318979266,1.0666258089445908,191.72669170815948,1906.4236905415019,371.2794638052491,3099.6566224774597,117.66160486109052,254.17453104370156,174.13729797499457,333.0368792392458,228.35302480832135,114.01630955646988,-0.1910340848936849,0.9422877292299833,-0.22354762045345422,0.5163945501944803,0.3988626062183271,0.615043510534969,0.10531382240154787,0.8396065340894612,0.1,muIsoCut,egmIsoCut
egm,0.39,0.1,0.39,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.165280082987552,1.1171576763485478,0.21722510373443984,0.7687400318979266,1.0648304109127198,192.3901807332869,1913.9670591515974,370.6159747801217,3092.1132538673633,117.66346092947218,254.198190543654,174.13604384680966,333.01882092313303,229.40517021403372,114.7031969503903,-0.19239541924471282,0.9419487113948425,-0.22525973912799294,0.5191092500732808,0.4003553779906984,0.6189834918749381,0.10584119753135017,0.8386479718560309,0.1,muIsoCut,egmIsoCut
egm,0.4,0.1,0.4,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.165280082987552,1.1171576763485478,0.21722510373443984,0.7687400318979266,1.0648304109058935,192.3901807358224,1949.912509449533,370.61597477758625,3056.167803569429,117.66346092947218,256.2984015958974,174.13604384680966,331.4051666828532,236.46238422399853,118.18388532707806,-0.2290771978050854,0.9707682828651404,-0.26426990655368454,0.5191092500836734,0.40035537799641224,0.6380253424475406,0.10871839725855349,0.8136185438846503,0.1,muIsoCut,egmIsoCut
egm,0.41000000000000003,0.1,0.41000000000000003,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.1963122406639006,1.1171576763485478,0.18619294605809128,0.7687400318979266,1.0648304109058935,192.3901807358224,2000.2923951413627,370.61597477758625,3005.787917877599,117.66346092947218,258.59065186758187,174.13604384680966,329.61967467279715,246.63759923187556,123.19603409080007,-0.2819656298911748,1.0122999690664907,-0.3184313073281669,0.5191092500836734,0.40035537799641224,0.6654802167658518,0.11281425216905511,0.780052114255894,0.1,muIsoCut,egmIsoCut
egm,0.42,0.1,0.42,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.1963122406639006,1.1171576763485478,0.18619294605809128,0.7687400318979266,1.0648304108990623,192.39018073835786,2025.3869889702823,370.6159747750508,2980.69332404868,117.66346092947218,258.90750025946267,174.13604384680966,329.37085705037407,251.83428538509617,125.7447145665827,-0.3089768116990319,1.0334744958468616,-0.34518300423460263,0.5191092500940658,0.4003553780021259,0.6795019711116057,0.11481645483722211,0.7639554735137097,0.1,muIsoCut,egmIsoCut
egm,0.43,0.1,0.43,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.1963122406639006,1.1171576763485478,0.18619294605809128,0.7687400318979266,1.0646730217375482,192.44850401560382,2044.2763512320423,370.5576514978048,2961.8039617869185,117.66346815687331,259.1213234049531,174.13603896326546,329.20266542293865,255.76380256714154,127.69116497485967,-0.32899865278456053,1.0490402198890172,-0.36464224267418566,0.5193483476531152,0.4004868643710483,0.6902132543568776,0.1163595954630494,0.7524462104643733,0.1,muIsoCut,egmIsoCut
egm,0.44,0.1,0.44,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.1963122406639006,1.1171576763485478,0.18619294605809128,0.7687400318979266,1.0646730217341178,192.44850401687154,2062.026053801428,370.55765149653706,2944.054259217533,117.66346815687331,259.3333074115779,174.13603896326546,329.0356984153446,259.53989449379594,129.54706472655639,-0.3486199636607341,1.0644318413376996,-0.3833660193666336,0.5193483476583131,0.40048686437390696,0.7004035497462165,0.11784291747517311,0.7414987371872875,0.1,muIsoCut,egmIsoCut
egm,0.45,0.1,0.45,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.2273443983402488,1.1171576763485478,0.15516078838174274,0.7687400318979266,1.064673021727304,192.44850401940704,2079.899856917502,370.5576514940016,2926.180456101459,117.66346815687331,259.545136356535,174.13603896326546,328.8686323722122,263.3886795036869,131.44043204463009,-0.36861900198053,1.0801254947098964,-0.4021272839255894,0.519348347668709,0.40048686437962433,0.7107900172665857,0.11936833328930836,0.7306635364209462,0.1,muIsoCut,egmIsoCut
egm,0.46,0.1,0.46,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.2583765560165974,1.1171576763485478,0.12412863070539419,0.7687400318979267,1.0628944371884579,193.1093917929245,2100.929624480124,369.8967637204841,2905.1506885388376,117.66532416710986,259.7748322510944,174.13478484544206,328.6872247192114,267.4997451820822,133.672221306399,-0.38522390184382216,1.091588155889377,-0.417729627765903,0.5220629395364199,0.40198535453689116,0.723174062112695,0.12120289668943006,0.7219049560644569,0.1,muIsoCut,egmIsoCut
